OEM,Model,n_flagged,step,pct
STELLANTIS EUROPE,COMPASS,455,Step 4: RW_EC Zero,2.42
RENAULT,CAPTUR E-TECH PLUG-IN HYBRID,225,Step 4: RW_EC Zero,1.2
PORSCHE,PANAMERA TURBO S E-HYBRID,218,Step 4: RW_EC Zero,1.16
FIAT GROUP,COMPASS,203,Step 4: RW_EC Zero,1.08
VOLVO,XC60,191,Step 4: RW_EC Zero,1.02
VOLKSWAGEN,GOLF GTE,190,Step 4: RW_EC Zero,1.01
MERCEDES-BENZ AG,GLC 300 DE 4MATIC,183,Step 4: RW_EC Zero,0.97
RENAULT,MEGANE E-TECH PLUG-IN HYBRID,146,Step 4: RW_EC Zero,0.78
MERCEDES-BENZ AG,A 250 E,144,Step 4: RW_EC Zero,0.77
SAIC MOTOR CORPORATION,MG EHS PLUG-IN HYBRID,142,Step 4: RW_EC Zero,0.76
VOLVO,XC90,142,Step 4: RW_EC Zero,0.76
BMW AG,X1 XDRIVE25E,133,Step 4: RW_EC Zero,0.71
TOYOTA MOTOR CORPORATION,LEXUS NX450H+,131,Step 4: RW_EC Zero,0.7
MERCEDES-BENZ AG,GLA 250 E,116,Step 4: RW_EC Zero,0.62
KIA,NIRO,107,Step 4: RW_EC Zero,0.57
MERCEDES-BENZ AG,C 300 E,106,Step 4: RW_EC Zero,0.56
JAGUAR LAND ROVER LIMITED,RANGE ROVER SPORT,105,Step 4: RW_EC Zero,0.56
RENAULT,CAPTUR,104,Step 4: RW_EC Zero,0.55
MERCEDES-BENZ AG,CLA 250 E,101,Step 4: RW_EC Zero,0.54
RENAULT,MEGANE,101,Step 4: RW_EC Zero,0.54
JAGUAR LAND ROVER LIMITED,RANGE ROVER EVOQUE,99,Step 4: RW_EC Zero,0.53
STELLANTIS AUTO,308,97,Step 4: RW_EC Zero,0.52
AUTOMOBILES PEUGEOT,3008,6725,Step 5: VFN Issue,20.78
PSA,508,2456,Step 5: VFN Issue,7.59
OPEL AUTOMOBILE,GRANDLAND X,1808,Step 5: VFN Issue,5.59
VOLVO,XC60,1758,Step 5: VFN Issue,5.43
PSA,DS 7 CROSSBACK,1656,Step 5: VFN Issue,5.12
STELLANTIS AUTO,508,1085,Step 5: VFN Issue,3.35
OPEL AUTOMOBILE,GRANDLAND,988,Step 5: VFN Issue,3.05
STELLANTIS AUTO,DS 7 CROSSBACK,747,Step 5: VFN Issue,2.31
PORSCHE,CAYENNE TURBO S E-HYBRID,541,Step 5: VFN Issue,1.67
MERCEDES-BENZ AG,E 300 E,511,Step 5: VFN Issue,1.58
PORSCHE,PANAMERA 4S E-HYBRID,480,Step 5: VFN Issue,1.48
STELLANTIS AUTO,308,468,Step 5: VFN Issue,1.45
VOLKSWAGEN,ARTEON,414,Step 5: VFN Issue,1.28
HYUNDAI CZECH,TUCSON,379,Step 5: VFN Issue,1.17
AUDI AG,Q8 60 TFSI E,353,Step 5: VFN Issue,1.09
AUDI AG,Q3 SPORTBACK E-TRON,352,Step 5: VFN Issue,1.09
MERCEDES-BENZ AG,S 580 E,345,Step 5: VFN Issue,1.07
FERRARI,296 GTB,333,Step 5: VFN Issue,1.03
AUTOMOBILES PEUGEOT,N 3008,317,Step 5: VFN Issue,0.98
MERCEDES-BENZ AG,E 300 E 4MATIC,252,Step 5: VFN Issue,0.78
FERRARI,SF90 SPIDER,249,Step 5: VFN Issue,0.77
AUDI AG,A8,245,Step 5: VFN Issue,0.76
MERCEDES-BENZ AG,C 300 DE,243,Step 5: VFN Issue,0.75
AUDI AG,Q3 E-TRON,242,Step 5: VFN Issue,0.75
SEAT,FORMENTOR E-HYBRID,236,Step 5: VFN Issue,0.73
PORSCHE,CAYENNE E-HYBRID,235,Step 5: VFN Issue,0.73
AUDI AG,Q8 55 TFSI E,228,Step 5: VFN Issue,0.7
STELLANTIS EUROPE,COMPASS,219,Step 5: VFN Issue,0.68
PORSCHE,PANAMERA TURBO S E-HYBRID,218,Step 5: VFN Issue,0.67
VOLKSWAGEN,TOUAREG R,213,Step 5: VFN Issue,0.66
MERCEDES-BENZ AG,GLC 300 E 4MATIC,110,Step 6: Physics CO2/FC,26.19
MERCEDES-BENZ AG,GLC 300 DE 4MATIC,68,Step 6: Physics CO2/FC,16.19
JAGUAR LAND ROVER LIMITED,RANGE ROVER SPORT,55,Step 6: Physics CO2/FC,13.1
MERCEDES-BENZ AG,C 300 E,44,Step 6: Physics CO2/FC,10.48
JAGUAR LAND ROVER LIMITED,RANGE ROVER,42,Step 6: Physics CO2/FC,10
MERCEDES-BENZ AG,GLC 400 E 4MATIC,30,Step 6: Physics CO2/FC,7.14
MERCEDES-BENZ AG,S 580 E,14,Step 6: Physics CO2/FC,3.33
FERRARI,SF90 STRADALE,11,Step 6: Physics CO2/FC,2.62
MERCEDES-BENZ AG,S 580 E 4MATIC,7,Step 6: Physics CO2/FC,1.67
VOLVO,POLESTAR 1,6,Step 6: Physics CO2/FC,1.43
BMW AG,330E,5,Step 6: Physics CO2/FC,1.19
PORSCHE,CAYENNE E-HYBRID,4,Step 6: Physics CO2/FC,0.95
FERRARI,SF90 SPIDER,2,Step 6: Physics CO2/FC,0.48
FORD WERKE GMBH,KUGA,2,Step 6: Physics CO2/FC,0.48
VOLVO,XC60,2,Step 6: Physics CO2/FC,0.48
AUDI AG,Q7 60 TFSI E,1,Step 6: Physics CO2/FC,0.24
BMW AG,530E XDRIVE,1,Step 6: Physics CO2/FC,0.24
BMW AG,X1 XDRIVE25E,1,Step 6: Physics CO2/FC,0.24
BMW AG,X3 XDRIVE30E,1,Step 6: Physics CO2/FC,0.24
FERRARI,296 GTS,1,Step 6: Physics CO2/FC,0.24
JAGUAR LAND ROVER LIMITED,RANGE ROVER EVOQUE,1,Step 6: Physics CO2/FC,0.24
JAGUAR LAND ROVER LIMITED,RANGE ROVER SPORT P510E AUTOBI,1,Step 6: Physics CO2/FC,0.24
MERCEDES-BENZ AG,A 250 E,1,Step 6: Physics CO2/FC,0.24
MERCEDES-BENZ AG,AMG GT 63 S E PERFORMANCE,1,Step 6: Physics CO2/FC,0.24
MERCEDES-BENZ AG,C 400 E 4MATIC,1,Step 6: Physics CO2/FC,0.24
MERCEDES-BENZ AG,E 300 E,1,Step 6: Physics CO2/FC,0.24
MERCEDES-BENZ AG,GLE 350 DE 4MATIC,1,Step 6: Physics CO2/FC,0.24
MERCEDES-BENZ AG,GLE 350 DE 4MATIC COUPE,1,Step 6: Physics CO2/FC,0.24
MERCEDES-BENZ AG,S 450 E,1,Step 6: Physics CO2/FC,0.24
PORSCHE,PANAMERA 4 E-HYBRID,1,Step 6: Physics CO2/FC,0.24
FIAT GROUP,COMPASS,1305,Step 8: EDS/Energy Violation,37.22
STELLANTIS EUROPE,COMPASS,1265,Step 8: EDS/Energy Violation,36.08
OPEL AUTOMOBILE,GRANDLAND X,301,Step 8: EDS/Energy Violation,8.59
PSA,508,163,Step 8: EDS/Energy Violation,4.65
PSA,C5 AIRCROSS,132,Step 8: EDS/Energy Violation,3.76
AUTOMOBILES PEUGEOT,3008,116,Step 8: EDS/Energy Violation,3.31
CHRYSLER,WRANGLER UNLIMITED,47,Step 8: EDS/Energy Violation,1.34
PSA,DS 7 CROSSBACK,45,Step 8: EDS/Energy Violation,1.28
ALFA ROMEO,TONALE,25,Step 8: EDS/Energy Violation,0.71
KIA,SORENTO,20,Step 8: EDS/Energy Violation,0.57
STELLANTIS EUROPE,COMPASS PHEV,20,Step 8: EDS/Energy Violation,0.57
CHRYSLER,RENEGADE,11,Step 8: EDS/Energy Violation,0.31
FORD WERKE GMBH,KUGA,9,Step 8: EDS/Energy Violation,0.26
OPEL AUTOMOBILE,GRANDLAND,9,Step 8: EDS/Energy Violation,0.26
PSA,NUEVO,9,Step 8: EDS/Energy Violation,0.26
AUTOMOBILES PEUGEOT,3008-5008,6,Step 8: EDS/Energy Violation,0.17
PSA,7 CROSSBACK,6,Step 8: EDS/Energy Violation,0.17
OPEL AUTOMOBILE,GRANDLAND X / 1.6 / TURBO PHEV AUT.,3,Step 8: EDS/Energy Violation,0.09
CHRYSLER,WRANGLER,2,Step 8: EDS/Energy Violation,0.06
FORD WERKE GMBH,NA,2,Step 8: EDS/Energy Violation,0.06
OPEL AUTOMOBILE,GRANDLAND X / 1.6 / TURBO PHEV AWD AUT.,2,Step 8: EDS/Energy Violation,0.06
OPEL AUTOMOBILE,CORSA GRIFFIN TURBO,1,Step 8: EDS/Energy Violation,0.03
OPEL AUTOMOBILE,CORSA SE PREMIUM TURBO AUTO,1,Step 8: EDS/Energy Violation,0.03
PSA,CORSA E ELITE NAV,1,Step 8: EDS/Energy Violation,0.03
PSA,CORSA ELITE,1,Step 8: EDS/Energy Violation,0.03
PSA,DS7 CROSSBACK,1,Step 8: EDS/Energy Violation,0.03
PSA,MOKKA SRI NAV PREMIUM TURBO,1,Step 8: EDS/Energy Violation,0.03
PSA,VIVARO LIFE EDITION TURBO D SS,1,Step 8: EDS/Energy Violation,0.03
RENAULT,MEGANE,1,Step 8: EDS/Energy Violation,0.03
